PUBCHEM_SUBSTANCE_ID,smiles
17110443,C=CCOc1ccc(C2C(C(=O)OCC)=C(C)N=c3s/c(=C\c4ccc(OC)cc4OC)c(=O)n32)cc1
17143282,CN(C)c1ccc(/C=C/c2cc(=O)oc3ccccc23)cc1
17022567,CCN(CC)CCCNc1ccnc2cc3ccccc3cc12
17009029,CCOC(=O)C1=C(C)N=c2s/c(=C/c3ccccc3[N+](=O)[O-])c(=O)n2C1c1ccc(OC(C)=O)cc1
118052235,C=C(C)COc1ccccc1C(=O)Nc1ccccc1
118051099,CCOCCOc1ccccc1C(=O)Nc1ccccc1
17074911,COc1cc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)ccc1OCc1ccccc1Cl
22397061,CCCCCOc1ccccc1C(=O)Nc1ccccc1
22396738,COCCOc1ccccc1C(=O)Nc1ccccc1
110472854,CCCCCCc1cc2cc(-c3nc4ccccc4[nH]3)/c(=N/c3ccccc3OC)oc2cc1O
17025164,COc1cc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)cc(Br)c1OC
134221011,C/C=C1\CN2CC[C@H]1CC2[C@H](O)c1ccnc2ccc(OC)cc12
383535696,CCCSCc1nnc2sc(C(CC)c3ccccc3)nn12
124752355,CCCCn1c(=N)c(C(=O)NCc2ccc(OC)cc2)cc2c(=O)n3cccc(C)c3nc21
17094935,CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccccc3OS(=O)(=O)c3ccccc3)c(=O)n2C1c1ccc(Cl)cc1
16964858,c1ccc(Cn2c(/N=N/c3c(Nc4ccccc4)ccc4ccccc34)nc3ccccc32)cc1
17126055,CCOC(=O)C1=C(C)N=c2s/c(=C/c3ccc(O)c(I)c3)c(=O)n2C1c1ccc(OCC)cc1
406166450,C=CCNCC(O)Cn1c2ccccc2c2ccccc21
24844773,Cc1ccc2c(c1)c1c(n2CC(O)CNC2CCCCC2)C(=O)CCC1
124752596,CCOCCCn1c(=N)c(C(=O)NCc2ccccc2Cl)cc2c(=O)n3cccc(C)c3nc21
16980705,COc1ccc2c(=O)cc(C(F)(F)C(F)F)oc2c1
16977725,Cc1ccc2oc(C(Cl)(Cl)Cl)cc(=O)c2c1
24844575,C=CCOc1c(C(=O)OCC)cnc2ccc(Cl)cc12
17034592,CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccc(N(CC)CC)cc3)c(=O)n2C1c1ccccc1
124353680,CCOC(=O)c1cc2c(=O)n3cccc(C)c3nc2n(CC(C)C)c1=N
124354051,CCCCCn1c(=N)c(C(=O)NCc2ccc(C)cc2)cc2c(=O)n3cccc(C)c3nc21
17022361,CCCCCOC(=O)C1=C(C)NC(=O)NC1c1ccccc1Cl
17121321,CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccc(OC(=O)c4cccc(Br)c4)c(OC)c3)c(=O)n2C1c1ccccc1
17008982,C=CCOc1ccc(/C=c2/sc3n(c2=O)C(c2ccc(OC)c(OC)c2)C(C(=O)OCC)=C(C)N=3)cc1
17020044,CCCCCOC(=O)C1=C(C)NC(=S)NC1c1ccccc1OCCC
17019985,CCCCOC(=O)C1=C(C)NC(=O)NC1c1ccc(N(CC)CC)cc1
17019882,CCCCCOC(=O)C1=C(C)NC(=O)NC1c1ccc(OC)c(Br)c1
17019824,CCOc1ccccc1C1NC(=O)NC(C)=C1C(=O)OCCSCC
